Ano;CLAS_CNAE_20;Descr_Classe;Emprego_formal
2012;1130;Cultivo de cana-de-açúcar;84633
2013;1130;Cultivo de cana-de-açúcar;83029
2014;1130;Cultivo de cana-de-açúcar;72466
2015;1130;Cultivo de cana-de-açúcar;70110
2016;1130;Cultivo de cana-de-açúcar;65897
2017;1130;Cultivo de cana-de-açúcar;65391
2018;1130;Cultivo de cana-de-açúcar;60677
2019;1130;Cultivo de cana-de-açúcar;56796
2020;1130;Cultivo de cana-de-açúcar;54432
2012;1318;Cultivo de laranja;51362
2019;1318;Cultivo de laranja;49167
2017;1318;Cultivo de laranja;48897
2015;1318;Cultivo de laranja;47071
2018;1318;Cultivo de laranja;46532
2021;1130;Cultivo de cana-de-açúcar;45689
2021;1318;Cultivo de laranja;45551
2012;1512;Criação de bovinos;45440
2013;1512;Criação de bovinos;45341
2015;1512;Criação de bovinos;45257
2014;1512;Criação de bovinos;45020
2016;1512;Criação de bovinos;44573
2017;1512;Criação de bovinos;44359
2020;1318;Cultivo de laranja;44217
2014;1318;Cultivo de laranja;43813
2013;1318;Cultivo de laranja;43652
2018;1512;Criação de bovinos;42503
2012;1610;Atividades de apoio à agricultura;41169
2019;1512;Criação de bovinos;40624
2020;1512;Criação de bovinos;39607
2021;1512;Criação de bovinos;39110
2016;1318;Cultivo de laranja;38438
2017;1610;Atividades de apoio à agricultura;36212
2019;1610;Atividades de apoio à agricultura;35397
2015;1610;Atividades de apoio à agricultura;34262
2021;1610;Atividades de apoio à agricultura;33341
2020;1610;Atividades de apoio à agricultura;32483
2018;1610;Atividades de apoio à agricultura;32187
2013;1610;Atividades de apoio à agricultura;31938
2014;1610;Atividades de apoio à agricultura;30103
2016;1610;Atividades de apoio à agricultura;24921
2020;1555;Criação de aves;24252
2021;1555;Criação de aves;24106
2019;1555;Criação de aves;23698
2015;1555;Criação de aves;23543
2013;1555;Criação de aves;23514
2018;1555;Criação de aves;23195
2017;1555;Criação de aves;22674
2014;1555;Criação de aves;22498
2016;1555;Criação de aves;22310
2012;1555;Criação de aves;21062
2012;1342;Cultivo de café;15966
2013;1342;Cultivo de café;14343
2016;1342;Cultivo de café;14268
2014;1342;Cultivo de café;14113
2015;1342;Cultivo de café;14067
2017;1342;Cultivo de café;13510
2018;1342;Cultivo de café;13413
2016;1199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;12991
2021;2101;Produção florestal - florestas plantadas;12868
2015;1199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;12605
2017;1199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;12296
2013;1199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;12290
2020;2101;Produção florestal - florestas plantadas;12207
2013;1229;Cultivo de flores e plantas ornamentais;12174
2018;1199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;12159
2014;1199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;12039
2021;1211;Horticultura;12026
2020;1342;Cultivo de café;12021
2012;1229;Cultivo de flores e plantas ornamentais;11998
2019;1211;Horticultura;11868
2020;1334;Cultivo de frutas de lavoura permanente, exceto laranja e uva;11863
2020;1211;Horticultura;11859
2019;1342;Cultivo de café;11831
2021;1342;Cultivo de café;11822
2019;2101;Produção florestal - florestas plantadas;11781
2021;1334;Cultivo de frutas de lavoura permanente, exceto laranja e uva;11722
2014;1229;Cultivo de flores e plantas ornamentais;11715
2018;1229;Cultivo de flores e plantas ornamentais;11674
2019;1334;Cultivo de frutas de lavoura permanente, exceto laranja e uva;11674
2019;1229;Cultivo de flores e plantas ornamentais;11637
2015;1229;Cultivo de flores e plantas ornamentais;11592
2018;2101;Produção florestal - florestas plantadas;11555
2017;1229;Cultivo de flores e plantas ornamentais;11454
2018;1211;Horticultura;11425
2016;1229;Cultivo de flores e plantas ornamentais;11304
2021;1229;Cultivo de flores e plantas ornamentais;11293
2016;1211;Horticultura;11111
2012;1199;Cultivo de plantas de lavoura temporária não especificadas anteriormente;11079
2017;1211;Horticultura;11005
2020;1229;Cultivo de flores e plantas ornamentais;10924
2017;1334;Cultivo de frutas de lavoura permanente, exceto laranja e uva;10901
2015;1211;Horticultura;10898
2014;2101;Produção florestal - florestas plantadas;10824
2013;2101;Produção florestal - florestas plantadas;10745
2016;2101;Produção florestal - florestas plantadas;10539
2014;1211;Horticultura;10486
2012;2101;Produção florestal - florestas plantadas;10439
2015;2101;Produção florestal - florestas plantadas;10404
2013;1211;Horticultura;9829
2012;1334;Cultivo de frutas de lavoura permanente, exceto laranja e uva;9433
